timestamp,src_ip,pkt_count,byte_count,pkts_per_sec,bytes_per_sec,unique_dst_ips,unique_dst_ports,avg_pkt_size,std_ias,syn_count,syn_ratio,arp_req,arp_rep,mac_changes
1763682989.8013358,10.0.1.10,5,354,0.5,35.4,2,2,70.8,0.20787719766242743,0,0.0,0,0,2
1763682989.8270507,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682990.8558493,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682990.8662226,10.0.1.10,6,420,0.6,42.0,2,2,70.0,0.19127664843361616,0,0.0,0,0,3
1763682990.8931866,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682992.918955,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0011337689803966355,2,0.5,0,0,2
1763682992.9246569,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682992.9495454,10.0.1.10,9,634,0.9,63.4,3,3,70.44444444444444,0.10620029872922884,0,0.0,0,0,5
1763682992.9729774,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682995.0039015,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0011636754748655536,2,0.5,0,0,2
1763682995.0125425,10.0.1.1,1,42,0.1,4.2,0,0,42.0,0,0,0,1,0,0
1763682995.0455458,10.0.1.10,9,618,0.9,61.8,2,2,68.66666666666667,0.026735138686527615,0,0.0,0,0,4
1763682995.0661447,10.0.1.11,1,42,0.1,4.2,0,0,42.0,0,0,0,0,1,0
1763682995.0923233,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682996.1160378,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682996.1270256,10.0.1.10,5,354,0.5,35.4,2,2,70.8,0.04174429077246197,0,0.0,0,0,2
1763682996.1584215,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682998.1843355,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682998.1947155,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0013038517811184717,2,0.5,0,0,2
1763682998.227562,10.0.1.10,12,832,1.2,83.2,3,3,69.33333333333333,0.0875186449432531,0,0.0,0,0,6
1763682998.251869,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682999.280593,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682999.2909849,10.0.1.10,8,746,0.8,74.6,3,3,93.25,0.23586146049096726,0,0.0,0,0,3
1763682999.313191,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682999.338528,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683001.3691115,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763683001.3791103,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0031163284588841293,2,0.5,0,0,2
1763683001.4050295,10.0.1.10,7,502,0.7,50.2,3,3,71.71428571428571,0.1934629908426694,0,0.0,0,0,4
1763683001.428568,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683002.4504924,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0022769688383691904,2,0.5,0,0,2
